"X","Y","DateTime"
"1077.8","415.8","291994788848"
"1077.4","442.4","291994797184"
"1092.2","492.0","291994805522"
"1096.1","487.0","291994813929"
"1097.5","474.4","291994822183"
"1098.2","470.2","291994830537"
"1100.0","473.0","291994838893"
"1097.9","474.0","291994847357"
"1090.9","467.6","291994855473"
"1078.7","456.3","291994863931"
"1146.2","503.8","291994872240"
"1139.9","506.4","291994880601"
"1097.2","483.6","291994888891"
"1083.1","487.4","291994897210"
"1078.3","477.9","291994905546"
"1118.5","513.3","291994913911"
"1120.0","506.5","291994922223"
"1122.1","494.1","291994930554"
"1110.5","494.1","291994938827"
"1110.6","494.1","291994947165"
"1132.1","488.1","291994955530"
"1140.2","540.2","291994963941"
"1140.2","540.2","291994972199"
"1133.9","488.8","291994980829"
"1133.8","490.8","291994988852"
"1132.7","506.3","291994997141"
"1126.4","507.4","291995005478"
"1126.4","500.6","291995013816"
"1120.6","502.6","291995022210"
"1115.7","514.1","291995030509"
"1119.9","526.6","291995038852"
"1125.3","532.6","291995047280"
"1122.4","521.3","291995055511"
"1116.2","514.1","291995063845"
"1128.9","482.0","291995072189"
"1127.9","536.2","291995080720"
"1146.2","502.1","291995088877"
"1132.0","521.4","291995097218"
"1108.5","494.5","291995105674"
"1096.9","437.3","291995113842"
"1122.2","379.0","291995122184"
"1122.3","379.1","291995130487"
"1125.8","372.9","291995138843"
"1122.0","358.1","291995147217"
"1122.0","358.1","291995155484"
"1127.1","364.8","291995163799"
"1117.4","391.1","291995172099"
"1130.4","351.0","291995180655"
"1136.6","347.5","291995188790"
"1144.4","323.9","291995197288"
"1126.0","332.6","291995205490"
"1109.4","320.9","291995213836"
"1108.0","342.3","291995222178"
"1112.8","356.7","291995230580"
"1135.9","350.5","291995238889"
"1127.8","355.4","291995247131"
"1089.1","350.4","291995263874"
"1070.3","346.7","291995272194"
"1096.5","360.2","291995280601"
"1131.2","339.2","291995288774"
"1108.8","349.0","291995297295"
"1132.9","328.8","291995305458"
"1128.2","388.7","291995313828"
"1116.1","376.7","291995322147"
"1116.0","352.5","291995330521"
"1122.5","353.6","291995347243"
"1122.3","345.6","291995355479"
"1126.4","347.9","291995363956"
"1128.7","349.8","291995380469"
"1117.8","308.4","291995388816"
"1114.5","344.2","291995397289"
"1116.7","364.8","291995405427"
"1116.0","365.9","291995413896"
"1100.3","360.9","291995422148"
"1100.2","360.8","291995430558"
"1100.0","353.0","291995438787"
"1118.7","347.7","291995447192"
"1118.7","347.7","291995455443"
"1086.3","346.9","291995463916"
"1080.0","334.3","291995472118"
"1075.6","352.5","291995480627"
"1021.7","412.3","291995488806"
"1021.7","412.5","291995497260"
"1013.0","419.1","291995514018"
"1013.0","419.1","291995522052"
"993.0","415.2","291995530581"
"972.2","344.5","291995538715"
"981.0","351.0","291995547368"
"974.1","347.9","291995555380"
"980.7","360.7","291995563942"
"986.6","348.1","291995572098"
"975.3","347.5","291995580556"
"982.8","357.3","291995588779"
"979.1","350.5","291995597158"
"986.0","354.0","291995605448"
"963.6","345.5","291995613960"
"973.0","356.5","291995622103"
"951.3","340.8","291995630514"
"978.1","353.0","291995638813"
"968.7","359.6","291995647249"
"990.7","370.5","291995655425"
"988.9","382.5","291995663853"
"969.5","338.4","291995672103"
"982.1","384.7","291995680630"
"978.2","372.3","291995688738"
"986.4","365.8","291995697153"
"975.2","398.7","291995705461"
"994.5","373.2","291995714022"
"994.5","366.1","291995722117"
"999.7","392.7","291995730525"
"973.5","381.0","291995738753"
"973.5","381.0","291995747182"
"984.3","381.4","291995755384"
"991.6","369.6","291995763840"
"997.9","369.8","291995772049"
"992.1","358.0","291995780522"
"991.6","347.5","291995788720"
"1002.5","353.1","291995797189"
"981.3","354.9","291995805378"
"978.7","362.1","291995813969"
"972.8","344.8","291995822221"
"980.2","338.2","291995830532"
"990.5","344.8","291995838711"
"982.5","371.1","291995847212"
"996.9","388.3","291995855406"
"976.8","390.8","291995863873"
"976.8","390.8","291995872093"
"989.7","365.4","291995880527"
"997.9","366.4","291995888738"
"1003.1","386.6","291995897210"
"991.9","368.0","291995905485"
"989.2","367.7","291995913860"
"992.4","361.8","291995922068"
"1001.5","376.9","291995930668"
"996.0","379.6","291995938689"
"981.5","392.1","291995947226"
"966.5","367.2","291995955437"
"966.3","367.3","291995963850"
"1000.1","382.4","291995972043"
"970.1","340.3","291995980501"
"963.7","350.4","291995988744"
"967.5","361.0","291995997209"
"969.2","362.0","291996005406"
"938.1","360.0","291996013883"
"942.9","350.4","291996022077"
"946.1","348.4","291996030612"
"995.4","361.3","291996038695"
"986.9","358.8","291996047202"
"971.0","351.7","291996055404"
"960.0","327.1","291996063850"
"958.1","345.2","291996072064"
"965.3","347.0","291996080501"
"991.0","380.9","291996088693"
"980.7","343.3","291996097202"
"981.2","343.1","291996105398"
"962.3","341.4","291996113834"
"947.9","327.3","291996130531"
"959.8","328.0","291996138688"
"984.0","353.0","291996155381"
"988.5","350.6","291996163893"
"997.0","362.8","291996171981"
"1000.3","372.3","291996180445"
"988.1","378.0","291996188716"
"978.9","368.4","291996197244"
"970.8","345.7","291996205365"
"982.0","326.4","291996213835"
"993.9","360.8","291996221968"
"994.7","384.7","291996230505"
"994.9","379.2","291996238691"
"994.6","370.3","291996247164"
"993.3","366.7","291996256958"
"969.5","379.1","291996263844"
"971.9","374.3","291996271997"
"969.4","382.3","291996280444"
"969.9","383.8","291996288699"
"976.1","375.4","291996297146"
"976.5","357.3","291996305311"
"983.4","370.1","291996313658"
"989.9","371.9","291996321999"
"989.5","389.7","291996330447"
"982.8","390.1","291996338694"
"969.1","416.4","291996347188"
"993.5","385.1","291996355338"
"1001.6","381.9","291996363786"
"1003.7","395.1","291996371998"
"992.9","382.0","291996380380"
"987.5","365.5","291996388628"
"986.5","365.5","291996397168"
"979.5","356.2","291996405342"
"978.4","366.1","291996413737"
"981.4","340.7","291996421967"
"991.8","360.8","291996430364"
"976.1","406.7","291996438668"
"975.5","392.5","291996447124"
"1060.7","400.1","291996613720"
"1084.4","380.8","291996621933"
"1022.9","383.4","291996630338"
"1052.7","392.0","291996638582"
"1044.6","380.8","291996647049"
"1088.1","417.6","291996655300"
"1046.2","422.4","291996663776"
"1063.3","386.9","291996671992"
"1068.0","386.4","291996680351"
"1090.1","397.2","291996688651"
"1024.0","415.4","291996696961"
"1051.0","425.1","291996705302"
"1063.3","415.2","291996713675"
"1077.8","400.0","291996721981"
"1076.7","397.8","291996730385"
"1090.7","427.6","291996738662"
"1073.1","403.0","291996746967"
