"X","Y","DateTime"
"1012.4","886.7","291993455677"
"1087.6","478.1","291993680626"
"1117.2","485.8","291993688952"
"1091.7","475.1","291993697318"
"1096.8","472.9","291993705629"
"1093.0","473.4","291993714045"
"1096.5","464.1","291993722326"
"1082.3","468.1","291993730696"
"1087.7","480.1","291993738950"
"1087.1","484.0","291993747351"
"1084.4","496.9","291993755646"
"1087.9","493.7","291993763985"
"1085.4","490.7","291993772281"
"1088.2","500.8","291993780653"
"1049.6","508.8","291993788963"
"1040.5","523.1","291993797328"
"997.8","486.7","291993805633"
"1008.2","484.9","291993814039"
"1008.6","498.8","291993822347"
"1020.6","504.1","291993830848"
"1002.1","502.0","291993838965"
"1003.0","490.4","291993847336"
"1006.4","488.7","291993855599"
"997.1","494.6","291993863952"
"1012.7","488.5","291993872300"
"1010.2","494.8","291993880749"
"1013.5","503.9","291993888966"
"1005.0","516.7","291993897350"
"1015.2","516.4","291993905634"
"1018.2","500.5","291993913939"
"1017.1","494.9","291993922293"
"1017.7","499.4","291993930684"
"1022.8","517.1","291993938921"
"1025.7","527.6","291993947433"
"1018.8","528.8","291993955591"
"1029.1","536.3","291993963990"
"1021.0","544.4","291993972290"
"1030.7","542.4","291993980680"
"1018.2","511.2","291993988942"
"1035.4","494.9","291993997279"
"1022.0","494.4","291994005603"
"1026.5","514.2","291994013941"
"1012.7","535.6","291994022271"
"1009.1","590.2","291994030596"
"971.9","702.3","291994038908"
"971.4","702.2","291994047455"
"973.5","713.0","291994055573"
"989.3","682.6","291994064003"
"981.1","720.2","291994072239"
"983.3","711.6","291994080713"
"981.2","699.5","291994088933"
"991.6","670.9","291994097315"
"994.6","682.8","291994105565"
"978.8","724.7","291994114091"
"992.0","708.2","291994122299"
"999.2","714.7","291994130753"
"999.9","718.6","291994138957"
"1000.5","717.2","291994147425"
"993.9","698.2","291994155591"
"984.9","693.3","291994164104"
"967.6","675.5","291994172259"
"971.3","725.7","291994180722"
"985.4","725.9","291994188997"
"990.4","701.5","291994197369"
"981.8","693.2","291994205576"
"990.4","696.3","291994214127"
"988.3","675.6","291994222254"
"972.1","723.4","291994230698"
"971.9","728.0","291994238916"
"990.6","705.1","291994247278"
"1002.4","737.6","291994255627"
"977.5","726.3","291994264114"
"983.3","714.7","291994272213"
"979.5","720.4","291994280657"
"988.8","758.5","291994288908"
"1008.4","757.9","291994297470"
"1043.3","784.2","291994305554"
"1064.8","794.6","291994314083"
"1062.7","784.5","291994322266"
"1063.4","781.6","291994330595"
"1058.1","839.2","291994338892"
"1058.2","839.3","291994347281"
"1055.2","833.0","291994355578"
"1055.8","835.9","291994364021"
"1055.8","835.9","291994372228"
"1055.8","844.1","291994380707"
"1055.2","788.6","291994388935"
"1074.7","770.5","291994397289"
"1073.9","767.8","291994405715"
"1062.2","836.3","291994413993"
"1062.3","836.2","291994422386"
"1069.6","777.8","291994430788"
"1031.8","781.8","291994438918"
"1045.4","770.4","291994447432"
"1050.5","788.7","291994455620"
"1073.5","834.0","291994463981"
"1073.5","834.0","291994472259"
"1083.0","841.5","291994480639"
"1049.3","779.0","291994488931"
"1067.5","792.1","291994497277"
"1054.9","778.9","291994505661"
"1045.1","810.7","291994513933"
"1045.8","806.4","291994522187"
"1052.9","818.9","291994530948"
"1056.9","817.9","291994538928"
"1060.5","826.6","291994547301"
"1044.3","810.8","291994555629"
"1068.4","728.5","291994564006"
"1046.7","777.8","291994572262"
"1094.0","751.4","291994580671"
"1108.5","623.9","291994588920"
"1108.8","622.9","291994597316"
"1069.5","559.2","291994605612"
"1079.9","487.8","291994613974"
"1107.8","480.5","291994622188"
"1094.5","495.3","291994630650"
"1105.8","481.2","291994638955"
"1101.6","504.0","291994647250"
"1079.3","552.1","291994655510"
"1097.2","528.5","291994663971"
"1131.3","475.6","291994672249"
"1131.3","475.6","291994680597"
"1103.2","466.1","291994688995"
"1090.8","459.1","291994697300"
"1089.2","473.7","291994705588"
"1099.7","451.2","291994713929"
"1097.3","436.9","291994722304"
"1089.3","421.8","291994730612"
"1088.4","515.8","291994738838"
"1098.3","475.6","291994747328"
"1091.5","517.3","291994755541"
"1112.2","427.4","291994763904"
"1108.7","437.5","291994772195"
"1090.7","426.0","291994780525"
