"X","Y","DateTime"
"1080.0","506.0","291985385805"
"1083.2","501.5","291985394082"
"1080.8","496.6","291985402518"
"1064.4","529.5","291985410874"
"1071.3","557.4","291985419165"
"1066.1","520.5","291985427523"
"1089.9","499.6","291985435871"
"1091.1","494.7","291985444131"
"1120.1","590.3","291985452533"
"1119.8","590.4","291985460877"
"1085.3","497.3","291985469201"
"1082.8","510.6","291985477500"
"1095.7","485.8","291985485792"
"1084.8","477.5","291985494191"
"1105.6","499.9","291985502560"
"1064.2","455.8","291985510807"
"1095.6","517.4","291985519169"
"1093.7","501.1","291985527528"
"1089.7","543.3","291985535774"
"1117.8","582.8","291985544109"
"1106.8","577.5","291985552500"
"1097.1","553.0","291985560889"
"1060.7","552.3","291985569179"
"1006.6","620.9","291985577351"
"1006.9","621.0","291985585856"
"999.4","633.2","291985594194"
"1004.6","647.6","291985602524"
"1003.3","651.8","291985610793"
"1000.4","647.8","291985619149"
"983.6","587.7","291985627513"
"988.0","650.5","291985635805"
"979.3","622.8","291985644150"
"989.4","654.1","291985652427"
"1014.1","622.1","291985660800"
"1010.0","642.7","291985669231"
"1017.1","604.0","291985677475"
"997.4","622.6","291985685750"
"997.2","614.2","291985694080"
"986.7","614.3","291985702438"
"983.1","646.6","291985710883"
"979.5","651.1","291985719105"
"980.9","642.1","291985727446"
"981.7","632.4","291985735744"
"980.9","637.7","291985744184"
"982.3","630.3","291985752402"
"985.1","625.4","291985760864"
"978.2","602.9","291985768992"
"977.3","605.0","291985777532"
"997.7","630.1","291985785907"
"999.5","629.6","291985794152"
"995.7","625.2","291985802383"
"981.5","607.4","291985810850"
"989.8","604.8","291985819155"
"1013.3","613.5","291985827464"
"1031.7","611.1","291985835830"
"1024.6","569.5","291985844081"
"1017.9","471.6","291985852364"
"1037.9","401.9","291985860711"
"1058.1","374.9","291985869133"
"1104.9","356.1","291985877459"
"1102.7","353.3","291985885782"
"1102.6","353.4","291985894131"
"1099.7","460.3","291985910823"
"1061.0","340.6","291985919102"
"1089.9","353.0","291985927449"
"1074.3","370.3","291985935838"
"1100.2","385.3","291985944068"
"1064.2","367.6","291985952397"
"1076.9","368.3","291985960798"
"1086.3","413.9","291985969087"
"1108.5","417.8","291985977420"
"1104.1","417.0","291985985809"
"1099.3","413.2","291985994100"
"1090.2","359.9","291986002484"
"1088.2","380.0","291986010875"
"1070.0","375.9","291986019200"
"1095.4","398.0","291986027359"
"1099.9","389.3","291986035685"
"1076.3","382.2","291986044043"
"1072.2","370.2","291986052487"
"1108.8","387.9","291986060774"
"1093.7","384.8","291986069014"
"1104.0","376.3","291986077366"
"1106.7","369.8","291986085678"
"1120.1","366.7","291986094073"
"1055.3","345.1","291986102394"
"1059.5","329.5","291986110685"
"1034.7","341.8","291986119025"
"1085.9","319.8","291986127434"
"1093.9","281.8","291986135749"
"1096.9","258.4","291986144191"
"1115.1","256.0","291986152481"
"1105.1","274.7","291986160768"
"1114.3","284.3","291986169159"
"1086.8","281.5","291986177525"
"1092.1","283.2","291986185711"
"1079.3","270.7","291986194088"
"1115.8","294.9","291986202421"
"1111.1","297.2","291986210801"
"1096.6","298.2","291986219087"
"1122.6","279.1","291986227531"
"1075.7","258.1","291986235864"
"1113.0","274.4","291986244043"
"1087.4","271.1","291986252451"
"1153.9","494.9","291986402313"
"1125.5","441.6","291986410694"
"1087.5","429.8","291986419024"
"1076.9","421.3","291986427325"
"1112.6","459.2","291986435644"
"1103.0","456.5","291986443995"
"1104.7","463.4","291986452286"
"1103.6","470.2","291986460650"
"1110.0","462.5","291986477305"
"1128.3","466.1","291986485707"
"1126.9","476.8","291986493998"
"1129.6","464.3","291986502326"
"1103.8","459.9","291986510645"
"1086.7","443.7","291986518990"
"1086.7","443.7","291986527323"
"1118.4","464.4","291986535618"
"1124.9","475.6","291986543999"
"1135.9","452.2","291986552275"
"1123.5","452.7","291986560645"
"1112.9","446.9","291986568971"
"1092.8","457.3","291986577326"
"1128.3","477.3","291986585651"
"1127.0","475.7","291986593977"
"1120.5","464.1","291986602302"
"1120.1","458.2","291986610677"
"1120.1","448.6","291986618958"
"1115.1","448.8","291986627307"
"1102.2","444.9","291986635606"
"1103.7","454.8","291986643977"
"1107.8","450.9","291986652320"
"1110.4","460.0","291986660671"
"1106.0","446.7","291986668978"
"1098.7","456.0","291986677312"
"1106.0","448.8","291986685617"
"1112.5","457.9","291986693966"
"1120.3","462.6","291986702254"
"1121.4","459.4","291986710625"
"1123.4","468.3","291986718975"
"1113.8","451.8","291986727355"
"1115.6","457.8","291986735616"
"1115.6","457.9","291986743951"
"1111.0","458.6","291986752381"
"1104.4","444.5","291986760636"
"1106.3","447.3","291986768954"
"1119.7","462.0","291986777336"
"1114.2","468.6","291986785607"
"1111.7","482.6","291986793944"
"1113.4","482.4","291986802224"
"1123.4","484.4","291986810525"
"1128.4","474.4","291986818893"
"1123.1","466.3","291986827283"
"1126.0","440.8","291986835693"
"1088.3","457.3","291986868959"
"1088.5","457.3","291986877474"
"1119.3","482.9","291986885679"
"1115.5","492.2","291986894090"
"1099.5","492.4","291986902333"
"1098.7","495.6","291986910702"
